"TAHUN","HARGA"
"2008.01","2822.13"
"2008.02","2769.87"
"2008.03","2610.31"
"2008.04","2507.44"
"2008.05","2689.91"
"2008.06","2799.56"
"2008.07","2863.19"
"2008.08","2827.29"
"2008.09","2838.13"
"2008.10","2897.13"
"2008.11","2904.52"
"2008.12","2973.42"
"2009.01","3035.53"
"2009.02","3128.5"
"2009.03","3006.1"
"2009.04","2638.09"
"2009.05","2984.03"
"2009.06","3019.01"
"2009.07","2947.03"
"2009.08","2970.75"
"2009.09","3019.95"
"2009.10","3117.39"
"2009.11","3020.89"
"2009.12","3079.79"
"2010.01","3104.82"
"2010.02","3118.70"
"2010.03","2827.95"
"2010.04","2759.70"
"2010.05","2853.38"
"2010.06","2921.44"
"2010.07","3036.26"
"2010.08","3187.40"
"2010.09","3211.67"
"2010.10","3294.12"
"2010.11","3375.70"
"2010.12","3616.42"
"2011.01","3878.16"
"2011.02","3314.19"
"2011.03","3018.39"
"2011.04","3193.50"
"2011.05","3285.78"
"2011.06","3364.67"
"2011.07","3589.98"
"2011.08","3731.67"
"2011.09","3760.41"
"2011.10","3920.45"
"2011.11","3929.28"
"2011.12","4082.44"
"2012.01","4411.31"
"2012.02","4039.58"
"2012.03","3615.79"
"2012.04","3723.70"
"2012.05","3833.36"
"2012.06","3835.14"
"2012.07","3865.66"
"2012.08","3832.16"
"2012.09","3897.26"
"2012.10","3934.62"
"2012.11","4037.97"
"2012.12","4122.71"
"2013.01","4333.19"
"2013.02","4265.15"
"2013.03","3783.15"
"2013.04","3669.04"
"2013.05","3802.70"
"2013.06","3918.21"
"2013.07","3898.75"
"2013.08","3965.89"
"2013.09","3965.92"
"2013.10","4068.29"
"2013.11","4165.03"
"2013.12","4228.88"
"2014.01","4412.30"
"2014.02","4423.22"
"2014.03","4134.76"
"2014.04","3935.73"
"2014.05","4130.49"
"2014.06","4213.83"
"2014.07","4097.92"
"2014.08","4170.35"
"2014.09","4282.54"
"2014.10","4364.75"
"2014.11","4535.02"
"2014.12","4910.51"
"2015.01","5027.89"
"2015.02","4922.52"
"2015.03","4499.83"
"2015.04","4106.73"
"2015.05","4428.41"
"2015.06","4441.70"
"2015.07","4443.74"
"2015.08","4594.72"
"2015.09","4764.68"
"2015.10","4904.51"
"2015.11","5070.45"
"2015.12","5117.64"
"2016.01","5205.73"
"2016.02","5211.16"
"2016.03","5702.51"
"2016.04","4262.42"
"2016.05","4440.13"
"2016.06","4501.12"
"2016.07","4375.50"
"2016.08","4479.51"
"2016.09","4537.13"
"2016.10","4555.26"
"2016.11","4513.86"
"2016.12","4622.88"
